,time,Latitude,Longitude,N,geoid,E,satellites,ellipsoid,PDOP,HDOP,VDOP,x,y,alt,MSL,surfaceAlt,speed,distance,UTC,All_time
5331,737044.9741592591,32.1118663973699,34.808581972458,1,18.968,1,8,55.2,2.0,1.0,,670634.915406736,3554267.21270475,35.795623166753295,36.232,0,0.11904153962003,5.34972679052413,23:22:47,2017-12-15 23:22:47
5332,737044.9743329859,32.1118190900864,34.8085778143412,1,18.969,1,7,55.3,1.4,1.1,,670634.611078367,3554261.96122594,36.2780457755426,36.330999999999996,0,0.350452330779206,5.26028948499589,23:23:02,2017-12-15 23:23:02
5333,737044.974506597,32.1117917751832,34.8085362072086,1,18.968,1,8,55.1,2.7,1.3,,670630.735812542,3554258.86696156,37.127313391164996,36.132,0,0.330603201337134,4.95904802005701,23:23:17,2017-12-15 23:23:17
5334,737044.974680093,32.111762346300004,34.8084923311624,1,18.968,1,9,57.8,1.9,0.9,,670626.6503808011,3554255.53473129,37.717348599611,38.832,0,0.3517044688799831,5.27204998851095,23:23:32,2017-12-15 23:23:32
5335,737044.9748534721,32.1117029389181,34.8084760579486,1,18.968,1,8,56.7,2.2,1.1,,670625.225368074,3554248.9225444,37.75607013828,37.732,0,0.451535285535834,6.7639985773268,23:23:47,2017-12-15 23:23:47
5336,737044.9750269679,32.1116834208537,34.8085043884155,1,18.968,1,7,55.5,1.3,0.9,,670627.934986585,3554246.80347288,36.8494404277842,36.532,0,0.229475624716971,3.4398396145073904,23:24:02,2017-12-15 23:24:02
5337,737044.97520081,32.1117006913804,34.8085344936448,1,18.969,1,7,55.1,1.3,0.9,,670630.7436156779,3554248.7659128997,35.903137329853294,36.131,0,0.228116200164877,3.4263053264764602,23:24:17,2017-12-15 23:24:17
5338,737044.975374537,32.1117285147747,34.8085388453185,1,18.969,1,9,54.1,1.9,0.9,,670631.102468671,3554251.85754622,35.8259088825099,35.131,0,0.20735443665451803,3.11239009418432,23:24:32,2017-12-15 23:24:32
5339,737044.9755478009,32.1117640552141,34.8085499047682,1,18.968,1,8,55.5,2.1,1.0,,670632.079914427,3554255.81538162,35.9878153233409,36.532,0,0.272327748812151,4.0767463997179005,23:24:47,2017-12-15 23:24:47
5340,737044.975721644,32.1118065663672,34.8085469454523,1,18.968,1,7,55.1,1.5,1.2,,670631.7215606311,3554260.5238471,35.98632463152661,36.132,0,0.31438632902027597,4.72208266188455,23:25:02,2017-12-15 23:25:02
5341,737044.975895255,32.1118462650339,34.8085082777863,1,18.969,1,6,54.4,1.5,1.1,,670627.998961583,3554264.86394083,35.6219012998214,35.431,0,0.38119203223636405,5.71788048354547,23:25:17,2017-12-15 23:25:17
5342,737044.976069097,32.1118734450463,34.8084966090488,1,18.967,1,6,54.0,1.5,1.2,,670626.847308545,3554267.85887022,35.210850655178206,35.033,0,0.213630062803525,3.2087235433089503,23:25:32,2017-12-15 23:25:32
5343,737044.9762424771,32.111873767042304,34.8085009026409,1,18.968,1,7,54.0,1.5,1.2,,670627.251857314,3554267.90136961,34.9672886936145,35.032,0,0.0271545397114991,0.406775004878256,23:25:47,2017-12-15 23:25:47
5344,737044.976416667,32.1118480174045,34.8085392228673,1,18.969,1,7,53.7,1.3,1.0,,670630.9157124821,3554265.10723486,34.3785104175902,34.731,0,0.30616036545430897,4.60771350008735,23:26:02,2017-12-15 23:26:02
